NCAM2	unnamed (+186488)
NDST3	unnamed (-158134)
NEBL	unnamed (-98200)
NELL1	unnamed (+759444)
NETO1	unnamed (+166473)
NFASC	unnamed (-186689)
NKX6-3	unnamed (-120599)
NOG	unnamed (-734281)
NOX3	unnamed (-528336)
NPHP4	unnamed (+371238)
NTRK3	unnamed (+94494), unnamed (+758679)
NYAP2	unnamed (+715567)
OLIG3	unnamed (+222468)
OSBPL1A	unnamed (+165380)
OSMR	unnamed (+148501)
OTOS	unnamed (-88519)
OTUB1	unnamed (+77572)
OTULIN	unnamed (-396305)
PABPC4L	unnamed (+748902)
PAPSS1	unnamed (+537076)
PAWR	unnamed (+772732)
PCDH10	unnamed (+303531)
PCDH20	unnamed (-54823)
PCED1B	unnamed (-145429)
PCTP	unnamed (+108324)
PDC	unnamed (-74725)
PDE1C	unnamed (-58408)
PDE4B	unnamed (+296396)
PDE6H	unnamed (+207728)
PDGFC	unnamed (+715599)
PDZRN3	unnamed (-726447)
PERP	unnamed (+105543)
PHACTR1	unnamed (+211123), unnamed (+502581)
PHIP	unnamed (+167409)
PKNOX2	unnamed (+115206)
PLCE1	unnamed (-114059)
PLCL1	unnamed (+252363), unnamed (+480662)
PLOD2	unnamed (+223994)
PLPPR1	unnamed (-429813)
PLXNA2	unnamed (-297413), unnamed (+66451)
POC1B-GALNT4	unnamed (-47085)
POM121L12	unnamed (-178030)
POU3F3	unnamed (+83015)
POU4F1	unnamed (+193185)
PPP1R14C	unnamed (+192234)
PPP2R2B	unnamed (+205924)
PPP3CA	unnamed (+220550)
PRKCE	unnamed (+138697)
PRKD1	unnamed (+690565)
PRR5	unnamed (-339849)
PRSS51	unnamed (+91009)
PSEN2	unnamed (-42315)
PTCHD4	unnamed (-330446)
PTGS2	unnamed (+144580)
PTPN1	unnamed (-279944)
RAB38	unnamed (+158856)
RAD18	unnamed (-190685)
RAPGEF5	unnamed (-37090)
RARB	unnamed (+81037)
RASAL2	unnamed (-32955)
RASGEF1B	unnamed (-450541)
RASGRF1	unnamed (+62197)
RASGRF2	unnamed (+167942)
RBFOX3	unnamed (-96700)
REEP3	unnamed (+811786)
RERG	unnamed (+40667)
RGMA	unnamed (-737108)
RICTOR	unnamed (+79899)
RIN2	unnamed (-532895)
RNF144B	unnamed (+902538)
ROBO2	unnamed (+982437)
ROBO3	unnamed (-23164)
RPL10L	unnamed (-889220)
RSL24D1	unnamed (+87997)
RUNX1	unnamed (+355907)
RUNX1T1	unnamed (-407554)
RXRA	unnamed (+116965)
S1PR3	unnamed (+99398)
SBF2	unnamed (+171184)
SC5D	unnamed (-87930)
SCN3B	unnamed (-29126)
SEC16B	unnamed (-91271)
SEC23A	unnamed (+381487)
SEL1L	unnamed (-913948)
SEPT9	unnamed (+521703)
SERPINE2	unnamed (-330412)
SFMBT1	unnamed (-29066)
SGCD	unnamed (-107077)
SGIP1	unnamed (-445372)
SHC3	unnamed (+82863)
SLC15A5	unnamed (+112055)
SLC24A3	unnamed (+140980)
SLC25A13	unnamed (+388349)
SLC35F3	unnamed (-197270)
SLC35G1	unnamed (+22780)
SLC38A4	unnamed (-108177)
SLC9A9	unnamed (-49677)
SLIT1	unnamed (+112879)
SMAD7	unnamed (+125152)
SMIM21	unnamed (-470079)
SNTB1	unnamed (-447765)
SNTG1	unnamed (+809822)
SOX1	unnamed (-682064)
SOX2	unnamed (-413314), unnamed (+588536)
SPATA6	unnamed (-80453)
SRGAP3	unnamed (+95192)
ST8SIA5	unnamed (+133597)
STEAP1B	unnamed (+106494)
STT3B	unnamed (-237942)
STXBP6	unnamed (-470790)
SUGCT	unnamed (+519347)
SWAP70	unnamed (+458946)
SYK	unnamed (+484317)
SYT1	unnamed (+53696)
SYT13	unnamed (-252762)
SYT2	unnamed (-25515)
TBC1D7	unnamed (-118282), unnamed (+107526), unnamed (+398984)
TECTA	unnamed (+103350)
TEKT4	unnamed (-201417)
TENM2	unnamed (-60583)
TERF1	unnamed (-95627)
TEX29	unnamed (+64915)
TMEM135	unnamed (+978604)
TMEM47	unnamed (+686464)
TNFAIP3	unnamed (+134780)
TNFAIP8L3	unnamed (-25267)
TNFSF11	unnamed (+146429)
TNRC6C	unnamed (-201943)
TOP2B	unnamed (+155024)
TOPAZ1	unnamed (-246078)
TRAM1L1	unnamed (-790635)
TRIO	unnamed (+124741)
TRIQK	unnamed (+462937)
TSN	unnamed (+761548)
URB2	unnamed (+344683)
USP29	unnamed (-186530)
USP6NL	unnamed (+278831)
WDFY2	unnamed (+60976)
WNT5A	unnamed (-831851)
ZC3H12A	unnamed (-337369)
ZFAND3	unnamed (+214141)
ZFP42	unnamed (-866681)
ZIM2	unnamed (-92784)
ZNF202	unnamed (+57940)
ZNF516	unnamed (+597408)

