NRXN3	unnamed (+917593)
NTRK2	unnamed (+169984)
NYAP2	unnamed (+715591)
OTUD7A	unnamed (-167341)
OTULIN	unnamed (-396290)
P2RY2	unnamed (+24492)
P2RY6	unnamed (-22445)
PANK3	unnamed (-643852)
PCDH11X	unnamed (+677673)
PCDH7	unnamed (+954595)
PCED1B	unnamed (-135288)
PDZRN3	unnamed (-726489)
PHACTR1	unnamed (+97497)
PHF3	unnamed (+376588)
PIGK	unnamed (+180675)
PITRM1	unnamed (-299918)
PKP2	unnamed (-24881)
PKP4	unnamed (+32375)
PLOD2	unnamed (+223998)
PLXNA2	unnamed (+66442)
PLXNC1	unnamed (-364700)
POM121L12	unnamed (-178048)
POMP	unnamed (-22187)
POU3F1	unnamed (-279525)
POU3F3	unnamed (+82999)
PPP2R2B	unnamed (-56536)
PPP3CA	unnamed (+320767)
PRKCE	unnamed (+138691)
PRR16	unnamed (-408213)
PRTFDC1	unnamed (+31111)
PTP4A3	unnamed (+27367)
PTPN1	unnamed (-279960)
PTPRG	unnamed (+385085)
PTPRN2	unnamed (+142047), unnamed (+895339)
PTPRR	unnamed (-494970)
QKI	unnamed (+292279)
QTRT2	unnamed (+65518)
RABGAP1L	unnamed (+268027)
RAPGEF5	unnamed (-43404), unnamed (-37109)
RASD2	unnamed (-82184)
RASGEF1B	unnamed (-450542)
RASSF10	unnamed (+228384)
RBFOX1	unnamed (+145852)
REV1	unnamed (-220816)
RGMA	unnamed (-737125)
RGPD4	unnamed (-230995)
RIN2	unnamed (-532893)
RNF144B	unnamed (+902512)
RNF182	unnamed (+83335)
ROBO2	unnamed (+534052)
ROBO3	unnamed (-23224)
RPS15A	unnamed (+61539)
RRAGC	unnamed (+533504)
RTP4	unnamed (+111351)
RUNX1T1	unnamed (-407573)
SARAF	unnamed (+654140)
SBF2	unnamed (+171208)
SCAF4	unnamed (-67171)
SEC22A	unnamed (+151237)
SEC23A	unnamed (+381499)
SEC61G	unnamed (-236101)
SEL1L	unnamed (-913943)
SERPINB8	unnamed (+213906)
SLC24A3	unnamed (+140982)
SLC35F3	unnamed (-197293)
SLC36A4	unnamed (+142786)
SLC38A4	unnamed (-118318)
SLC4A4	unnamed (+397488)
SLIT3	unnamed (+77330)
SNCAIP	unnamed (-130827)
SNTG1	unnamed (+114264), unnamed (+809820)
SOX4	unnamed (-217634), unnamed (-153664)
SPATA46	unnamed (+84110)
SPON1	unnamed (-114214)
SRC	unnamed (+76780)
SSR3	unnamed (+141352)
SST	unnamed (+190716)
ST6GAL2	unnamed (-709296)
ST6GALNAC5	unnamed (+171310)
STEAP1B	unnamed (+100180), unnamed (+106475)
STK17A	unnamed (-306302)
STK32A	unnamed (-122562)
STK39	unnamed (+204351)
STOX1	unnamed (+49522)
STRA8	unnamed (+49690)
SVIP	unnamed (+51164)
SWAP70	unnamed (+458922)
SYCP2L	unnamed (+134481)
SYN3	unnamed (+72136)
SYT10	unnamed (+518182)
TAF3	unnamed (+115476)
TBC1D7	unnamed (-118287), unnamed (+512610)
TENM2	unnamed (-60615)
TENM3	unnamed (-21570)
TES	unnamed (-87312)
TFEC	unnamed (-92440)
TGFBR2	unnamed (-169215)
THSD7A	unnamed (-261932)
TIMP3	unnamed (+184535)
TLE1	unnamed (+542536)
TLR2	unnamed (-204227)
TMEM106B	unnamed (-117170)
TMEM117	unnamed (+121808)
TMEM131L	unnamed (+30924)
TMEM170B	unnamed (-219824)
TMEM74	unnamed (+43731)
TMX1	unnamed (-101556)
TOPAZ1	unnamed (-246072)
TRAM1L1	unnamed (-790636)
TRAPPC12	unnamed (-317011)
TRIM9	unnamed (-42551)
TRIO	unnamed (+124756)
TRIQK	unnamed (+462918)
TSN	unnamed (+761546)
TSNARE1	unnamed (+954485)
TSPYL6	unnamed (+217186)
TTC7B	unnamed (+89563)
TTLL11	unnamed (+63510)
UBE2E3	unnamed (-317086)
URI1	unnamed (+311528)
USP6NL	unnamed (+279898)
VWC2	unnamed (-253589)
WASF2	unnamed (-37141)
WDR76	unnamed (+128266)
WNT5A	unnamed (-831845)
XIRP2	unnamed (+405608)
YTHDF3	unnamed (+807237)
ZBTB10	unnamed (+296716)
ZFAND3	unnamed (+214155)
ZNF474	unnamed (+51867)
ZNF536	unnamed (-118633)
ZNF644	unnamed (-144060)
ZNF704	unnamed (+92398)

